date,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,y13,y14,y15,y16,y17,y18,y19,y20,y21,y22,y23,y24,y25
2020-06-01,92730.39,99557.97000000002,1271574.8799999997,613850.7900000002,165064.31,30502.26,126391.53999999996,78248.32,28009.230000000003,47303.92000000001,226621.62999999998,22930.530000000002,44522.71,99675.83999999998,145828.71000000005,86209.87,58628.52999999999,351963.6500000001,48053.219999999994,1258961.28,657160.1599999999,192055.11,238552.34999999998,247684.76999999996,87503.43
2020-07-01,95659.24,102067.07000000002,1342744.5399999996,667048.5600000002,173330.88999999998,31853.62,129645.85999999997,80298.35,28881.570000000003,49037.250000000015,237099.88999999998,23329.020000000004,46174.409999999996,102990.50999999998,151426.29000000004,89006.20999999999,60201.03999999999,371435.82000000007,48794.729999999996,1314700.24,689271.2299999999,196909.53999999998,253437.22999999998,255987.16999999995,90712.48999999999
2020-08-01,97747.21,104100.79000000002,1397906.0899999996,708184.6800000002,178534.16999999998,32846.58,131636.88999999998,81667.0,29418.920000000002,49930.26000000002,243371.41999999998,23550.400000000005,47720.39,105184.18999999997,155729.63000000003,90999.93,60845.92999999999,382110.8400000001,48807.799999999996,1364364.82,715591.8599999999,200151.09999999998,267206.29,262640.6,92369.66999999998
2020-09-01,101410.89,106903.03000000003,1451302.5099999995,758424.5800000002,187172.41999999998,34380.96,135997.4,83504.61,29954.120000000003,51667.85000000001,252544.99,24000.270000000004,50039.87,109012.36999999997,161923.81000000003,93473.65,62107.69999999999,395471.45000000007,48979.02,1439603.57,752839.8399999999,205070.52,279009.36,271220.48,96268.24999999999
2020-10-01,105797.14,109647.20000000003,1526816.1799999995,800383.9400000002,196040.43999999997,35744.34,140056.59,85738.21,30763.760000000002,53515.20000000001,264886.12,24476.170000000006,51729.11,111972.41999999997,166397.78000000003,96323.48,64285.69999999999,407903.12000000005,49390.78,1532989.24,788375.9899999999,210930.27,292911.13,277078.01,100252.90999999999
2020-11-01,110611.14,112118.40000000002,1596631.5399999996,835694.6600000001,204307.89999999997,37074.95,144106.18,87974.53000000001,31767.36,54974.08000000001,275911.92,24866.840000000004,53098.79,115404.37999999998,171614.64,98941.48999999999,66135.15999999999,427557.01000000007,50406.979999999996,1631351.69,832853.1999999998,217060.81,310925.46,284580.41000000003,104176.18
2020-12-01,115057.93,115574.80000000002,1669374.8799999997,868163.5800000002,212391.78999999998,38092.299999999996,147329.03999999998,90073.69000000002,32674.95,56572.06000000001,283416.35,25304.170000000006,55147.71,118286.86999999998,176150.42,101543.41999999998,67998.93,449285.7100000001,51197.469999999994,1723566.0,856004.0599999998,222238.0,323427.07,290993.07,107640.43999999999
2021-01-01,117710.73,116791.88000000002,1712905.5999999996,901101.9500000002,219852.43999999997,39261.729999999996,149733.86999999997,91811.42000000001,33352.32,57742.110000000015,290549.51999999996,25729.100000000006,56893.42,120386.68999999999,179459.24000000002,103242.56999999998,69626.95999999999,457422.1600000001,52056.34,1813415.67,881815.7599999998,226786.26,333288.29,294704.05,108701.72999999998
2021-02-01,121620.3,118371.41000000002,1757602.6399999997,940583.5200000001,229539.55,40345.259999999995,152123.52999999997,93485.09000000001,33788.74,58591.890000000014,300068.05,26052.870000000006,58555.42,123640.56999999999,183036.97000000003,106387.92999999998,72173.54,465799.8300000001,52719.6,1922702.66,906478.3999999998,231682.36000000002,341555.51999999996,300129.11,110277.74999999999
2021-03-01,124522.88,119710.73000000003,1817260.4099999997,972401.7900000002,238049.38999999998,41512.85999999999,154660.89999999997,94861.49,34799.27,59409.84000000001,309679.36,26497.440000000006,59852.35,125443.93,186920.29000000004,108726.89999999998,74208.11,476614.00000000006,53295.57,2021254.71,937516.2499999998,237253.26,350115.02999999997,302890.68,111745.40999999999
